"";"marca";"modelo";"precio";"met_pago";"link"
"27";"Samsung";"Galaxy S24 FE 256GB";1499999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s24-fan-edition-5g-256gb"
"28";"Motorola";"Edge 50 Pro 512GB";1109999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/motorola-edge-50-pro-5g-512gb"
"29";"Samsung";"Galaxy S25 Ultra 512GB";2699999;"Pago en factura + tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s25-ultra-5g-512gb"
"30";"Motorola";"Moto G24 Power 128GB";299999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/moto-g24-power-128gb"
"31";"Motorola";"Edge 50 Ultra 512GB";1299999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/motorola-edge-50-ultra-5g-512gb"
"32";"Samsung";"Galaxy S25 Plus 512GB";2299999;"Pago en factura + tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s25-plus-5g-512gb"
"33";"Samsung";"Galaxy S25 512GB";1999999;"Pago en factura + tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s25-5g-512gb"
"34";"Samsung";"Galaxy S25 Plus 256GB";1999999;"Pago en factura + tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s25-plus-5g-256gb"
"35";"Motorola";"Moto G75 128GB";459999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/moto-g75-5g-128gb"
"36";"Motorola";"Moto G85 256GB";549999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/moto-g85-5g-256gb"
"37";"Motorola";"Moto G75 256GB";499999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/moto-g75-5g-256gb"
"38";"Samsung";"Galaxy S25 Ultra 256GB";2399999;"Pago en factura + tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s25-ultra-5g-256gb"
"39";"Motorola";"Moto G35 256GB";399999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/moto-g35-5g-256gb"
"40";"Motorola";"Edge 60 512GB";849999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/motorola-edge-60-5g-512gb"
"41";"Samsung";"Galaxy S25 256GB";1799999;"Pago en factura + tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s25-5g-256gb"
"42";"Motorola";"Edge 60 Fusion 256GB";649999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/motorola-edge-60-fusion-5g-256gb"
"43";"Samsung";"Galaxy Z Fold5 256GB";1399999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-z-fold5-5g-256gb"
